Title: Asteroid Classification with Convolutional Neural Networks
Authors: Patel N., Burbine T. H., DeMeo F. E.
Table A1: Testing Results for Individual Asteroids
=================================================================================================
Column  Description 
-------------------------------------------------------------------------------------------------
 1- 9   Number or Designation
11-14   Class
16-17   Run 1 Prediction
19-21   Run 2 Prediction 
23-25   Run 3 Prediction
-------------------------------------------------------------------------------------------------
22753     Q    Sq Sq  -  
22771     S    -  S   -  
24445     Sr   Sr Sr  -  
24475     S    -  Sq  -  
24761     C,X  Cb C   -  
25143     Sq   Sq Sq  -  
25330     B    -  Xk  -  
25330     Xk   -  Xk  -  
25916     S    S  S   -  
26760     C,P  Sq C   -  
29075     L    L  L   -  
30825     Sq   Sq Sq  -  
32906     S    S  S   -  
33342     X    Sr -   -  
33881     V    V  V   V  
35396     S    S  S   -  
36017     S    O  S   -  
36284     K    -  K   -  
36284     Sq   -  Sq  -  
37336     S    S  S   S  
39572     Sq   Q  Sq  -  
52340     Q    Q  Q   -  
52760     Q    Sq Sq  -  
52762     D    A  D   -  
52768     Xk   L  Xk  -  
53319     C,P  Sq C   -  
53435     Sr   -  S   S  
54690     S    -  S   -  
54789     Xe   L  Xe  -  
63164     S,Sr Q  Sq  -  
65679     C    Cb -   -  
65803     S    S  S   -  
65996     X    S  X   -  
66063     Sq   Sq Sq  -  
66251     S    D  S   -  
68216     S    S  S   S  
68346     S    S  S   -  
68350     S    Q  S   Sr 
68359     S    S  Sq  -  
68372     C    Q  C   -  
68950     S    S  S   -  
85709     S,Sr Sq S   -  
85774     Cg   V  Sr  Sr 
85818     Sr   Sr Sr  -  
85867     Q    Q  Q   -  
85989     L    L  L   -  
85990     S    L  -   -  
86039     Q    Q  Sq  -  
86212     S,Sr Sq S   -  
86819     Sq   -  Sq  Sq 
87684     Q    Sq Q   -  
88188     V    V  V   -  
88254     Q    Q  Q   -  
88710     S    S  -   S  
89355     Sr   -  Sr  -  
96189     B    B  -   -  
96590     Q    Q  -   -  
99799     Q    Q  -   Q  
99942     Sq   Q  -   -  
100926    Sq   S  -   -  
101955    B    B  -   -  
102528    X    Xk -   -  
108519    C    Sq -   -  
136617    S    Sq -   S  
136923    S    S  -   -  
136993    Sr   Sr -   -  
137032    Q    Q  -   Q  
137126    Sq   S  -   -  
137170    Xk   L  -   -  
137199    S,Sr Sq -   -  
137427    S    S  -   -  
137799    Sq   S  -   -  
138404    S    S  -   -  
138524    Sr   Sr -   -  
138846    Sr   S  -   -  
138852    Q    Sq -   -  
138911    L    S  -   -  
139622    Sq   Sq -   -  
141018    S    S  -   -  
141052    Sq   K  -   -  
142040    S    Sq -   -  
143381    S    S  -   -  
143624    Q    B  -   -  
143651    Q    Q  -   -  
144411    L    Sq -   -  
145656    Sr   Sq -   -  
152560    Q    Sq -   Q  
152563    S    Sq -   -  
152931    Q    Q  -   Q  
153591    B    B  -   -  
153814    L    Sq -   -  
154029    S    L  -   -  
154276    S    S  -   -  
154302    Sq   S  -   -  
154347    S    L  -   -  
155334    Sq   Q  -   -  
159402    S    S  -   S  
159635    L    S  -   -  
159857    Sr   S  -   -  
161998    S    Q  -   -  
162149    S    S  -   -  
162173    U    D  -   -  
162186    Sq   S  -   -  
162483    Q    Q  -   Q  
162911    S    Q  -   S  
162998    D    D  -   -  
163000    S    S  -   -  
163081    S    S  -   -  
163249    Q    S  -   -  
163364    Q    S  -   -  
163697    Q    Q  -   -  
164202    Xe   L  -   -  
170502    C    O  -   C  
175706    C    O  -   -  
180186    X    Xk -   -  
189552    Sr   S  -   Sr 
192563    V    V  -   -  
200840    S    S  -   -  
214869    Sq   Sq -   Sq 
217796    Sr   S  -   -  
217807    Sq   Sq -   -  
219071    Q    Sq -   -  
236716    S,Sr Sq -   Sq 
241662    S    S  -   -  
242187    Sq   S  -   -  
253841    V    V  -   -  
267494    X    C  -   -  
283460    S    S  -   S  
285263    Ch   L  -   -  
297418    V    V  -   V  
301964    D    X  -   -  
302311    S    S  -   S  
303174    S,Sr S  -   -  
308635    C    Cb -   -  
310442    Sq   Sq -   -  
312473    C,X  O  -   -  
326290    V    V  -   -  
329437    Q    Q  -   -  
341843    C    B  -   -  
345705    Q    Q  -   -  
350523    Q    Sq -   -  
354030    C    C  -   -  
363067    X    T  -   -  
365424    S    S  -   S  
399774    Sq   Sq -   -  
405058    X    X  -   X  
413038    Sr   Sr -   -  
414586    Sv   D  -   -  
416186    S    L  -   -  
999997    S    -  -   S  
2000PG3   D    D  -   -  
2000QN130 C    O  -   C  
2000SL    S    Sq -   -  
2000WL63  U    D  -   -  
2001SG286 Xe   D  -   -  
2001YE4   V    V  -   -  
2002AL14  L    D  -   L  
2002AV    S    S  -   -  
2002NW16  S    S  -   S  
2002NX18  C,Ch Ch -   -  
2002NY40  Q    Q  -   Q  
2002TP69  S    S  -   -  
2002TS67  X    S  -   X  
2002UN    C    S  -   C  
2002VP69  Sq   S  -   Sq 
2003FT3   Sr   Sr -   -  
2003GA    S    S  -   -  
2003UB5   L    S  -   -  
2004LU3   Sr   S  -   -  
2004OB    C    Ch -   -  
2004QD3   X    Ch -   -  
2005AB    C    Ch -   C  
2007LE    L    K  -   -  
2007RU17  Q    Q  -   Q  
2008DE    Sq   Sq -   Sq 
2008QS11  L    K  -   -  
2009SQ104 Sq   Sq -   -  
2011BT15  Sq   D  -   -  
2011EZ78  Sq   Sq -   -  
2011WV134 S    S  -   -  
