0.525	0.9931	0.036	1
0.5275	1.0082	0.0141	1
0.53	1.0338	0.0249	1
0.5325	1.0589	0.012	1
0.535	1.0578	0.0578	1
0.5425	1.0086	0.0481	1
0.545	0.9988	0.0125	1
0.5475	1.0066	0.012	1
0.55	1.0365	0.0061	1
0.5525	1.0061	0.005	1
0.555	1.0256	0.0089	1
0.5575	1.0593	0.0286	1
0.5625	1.015	0.0046	1
0.565	1.0132	0.006	1
0.5675	1.036	0.0086	1
0.57	1.0677	0.0097	1
0.5725	1.064	0.0213	1
0.575	1.0284	0.0174	1
0.5775	1.0325	0.0275	1
0.58	1.0584	0.0319	1
0.5825	1.0024	0.0294	1
0.585	1.0259	0.0136	1
0.5875	1.0031	0.016	1
0.59	1.0086	0.0213	1
0.5925	1.0021	0.0265	1
0.595	1.0847	0.0391	1
0.5975	1.0182	0.0149	1
0.6	1.021	0.0072	1
0.6025	1.0423	0.0141	1
0.605	1.0438	0.0185	1
0.6075	1.0135	0.0177	1
0.61	1.0574	0.0122	1
0.6125	1.0451	0.0298	1
0.6175	1.0427	0.018	1
0.62	1.1239	0.0211	1
0.6225	1.1099	0.0065	1
0.625	1.1214	0.0179	1
0.6275	1.1477	0.024	1
0.63	1.141	0.027	1
0.64	1.1656	0.0233	1
0.6425	1.1621	0.006	1
0.645	1.1345	0.007	1
0.6475	1.1323	0.0271	1
0.65	1.0763	0.0262	1
0.6525	1.1124	0.0153	1
0.655	1.112	0.0286	1
0.6575	1.222	0.0219	1
0.66	1.1705	0.0159	1
0.6625	1.164	0.0176	1
0.665	1.1804	0.0176	1
0.6675	1.1396	0.0043	1
0.67	1.1435	0.0251	1
0.6725	1.0386	0.0376	1
0.675	1.0755	0.0466	1
0.6775	1.1329	0.0059	1
0.68	1.0674	0.0221	1
0.6825	1.0774	0.0228	1
0.685	1.155	0.0283	1
0.6875	1.2115	0.0238	1
0.69	1.1869	0.0265	1
0.6925	1.2177	0.002	1
0.695	1.2024	0.0167	1
0.6975	1.1821	0.0225	1
0.7	1.147	0.0091	1
0.7025	1.1871	0.0042	1
0.705	1.2239	0.0096	1
0.7075	1.2658	0.0139	1
0.71	1.2508	0.0052	1
0.7125	1.2675	0.0083	1
0.715	1.2552	0.0078	1
0.7175	1.2404	0.0061	1
0.72	1.3029	0.0037	1
0.7225	1.3072	0.0061	1
0.725	1.2834	0.017	1
0.7275	1.2146	0.0261	1
0.73	1.2912	0.0258	1
0.7325	1.2652	0.0176	1
0.735	1.228	0.0234	1
0.7375	1.1997	0.0245	1
0.74	1.2758	0.0166	1
0.7425	1.235	0.0091	1
0.745	1.1908	0.0102	1
0.7475	1.2226	0.0148	1
0.75	1.2694	0.0154	1
0.7525	1.1441	0.0127	1
0.755	1.1965	0.019	1
0.7575	1.1168	0.0154	1
0.76	1.1677	0.0078	1
0.7625	1.336	0.0078	1
0.765	1.3126	0.014	1
0.7675	1.2543	0.0399	1
0.77	1.2115	0.0363	1
0.7725	1.1748	0.0249	1
0.775	1.1631	0.0373	1
0.7775	1.2231	0.0207	1
0.78	1.2149	0.0187	1
0.7825	1.2434	0.03	1
0.785	1.3355	0.0368	1
0.7875	1.1797	0.0357	1
0.79	1.291	0.0121	1
0.7925	1.3087	0.0256	1
0.795	1.3477	0.0344	1
0.7975	1.4001	0.0186	1
0.8	1.3781	0.024	1
0.82	1.2565	0.007	5
0.825	1.2258	0.0065	5
0.83	1.2127	0.0063	5
0.835	1.2037	0.0062	5
0.84	1.198	0.0059	5
0.845	1.1928	0.0058	5
0.85	1.1844	0.0061	5
0.855	1.1755	0.0065	5
0.86	1.1684	0.0062	5
0.865	1.1515	0.0059	5
0.87	1.15	0.0062	5
0.875	1.1443	0.0058	5
0.88	1.1306	0.006	5
0.885	1.1262	0.0057	5
0.89	1.1244	0.0057	5
0.895	1.1265	0.0054	5
0.9	1.1193	0.005	5
0.905	1.1025	0.0052	5
0.91	1.1047	0.0048	5
0.915	1.1008	0.0051	5
0.92	1.1047	0.0051	5
0.925	1.0955	0.0048	5
0.93	1.0945	0.0057	5
0.935	1.095	0.0053	5
0.94	1.0998	0.0052	5
0.945	1.1079	0.0056	5
0.95	1.116	0.005	5
0.955	1.095	0.0047	5
0.96	1.0994	0.0044	5
0.965	1.1062	0.0049	5
0.97	1.1012	0.0047	5
0.975	1.081	0.0044	3
0.98	1.1151	0.0044	5
0.985	1.1189	0.0047	5
0.99	1.1296	0.0051	5
0.995	1.1233	0.0043	5
1	1.1314	0.0048	5
1.005	1.1351	0.0044	5
1.01	1.1333	0.0044	5
1.015	1.1386	0.0042	5
1.02	1.1534	0.0046	5
1.025	1.1493	0.0044	5
1.03	1.1503	0.0047	5
1.035	1.1513	0.0045	5
1.04	1.1589	0.0043	5
1.045	1.1659	0.0046	5
1.05	1.1694	0.0044	5
1.055	1.173	0.0046	5
1.06	1.1603	0.0042	5
1.065	1.1704	0.0044	5
1.07	1.1841	0.0043	5
1.075	1.1862	0.0046	5
1.08	1.1828	0.0043	5
1.085	1.2155	0.0046	5
1.09	1.2076	0.0043	5
1.095	1.208	0.0047	5
1.1	1.2137	0.0041	5
1.105	1.2253	0.0042	5
1.11	1.2275	0.0043	5
1.115	1.2357	0.0041	5
1.12	1.2433	0.0043	5
1.125	1.2441	0.0049	5
1.13	1.2579	0.0052	5
1.135	1.2617	0.0045	5
1.14	1.2574	0.0046	5
1.145	1.2661	0.0046	5
1.15	1.2739	0.0047	5
1.155	1.2758	0.0046	5
1.16	1.2773	0.0042	5
1.165	1.2764	0.0042	5
1.17	1.2838	0.0041	5
1.175	1.3094	0.004	4
1.18	1.3053	0.004	5
1.185	1.3098	0.0039	5
1.19	1.3051	0.0042	5
1.195	1.3075	0.0046	5
1.2	1.3175	0.0044	5
1.205	1.3166	0.0044	5
1.21	1.3169	0.0041	5
1.215	1.3125	0.004	5
1.22	1.33	0.0042	5
1.225	1.3245	0.0045	5
1.23	1.3201	0.0044	5
1.235	1.3193	0.0048	5
1.24	1.3244	0.0043	5
1.245	1.3357	0.0045	5
1.25	1.3311	0.0048	5
1.255	1.343	0.0042	5
1.26	1.3357	0.0045	5
1.265	1.3412	0.0047	5
1.27	1.3341	0.0048	5
1.275	1.3393	0.0067	1
1.28	1.3327	0.0045	4
1.285	1.342	0.0048	5
1.29	1.3598	0.0044	5
1.295	1.3608	0.0042	5
1.3	1.3535	0.0043	5
1.305	1.3609	0.0041	5
1.31	1.3691	0.0043	5
1.315	1.3573	0.0046	5
1.32	1.359	0.0042	5
1.325	1.3779	0.0047	5
1.33	1.3852	0.0042	5
1.335	1.3885	0.0042	5
1.34	1.3761	0.0045	4
1.345	1.3827	0.0052	5
1.35	1.3992	0.0062	3
1.355	1.3863	0.0062	2
1.36	1.4089	0.0062	1
1.365	1.4016	0.0096	1
1.37	1.4093	0.0059	2
1.375	1.3836	0.0086	1
1.38	1.3991	0.0092	1
1.385	1.3978	0.0069	5
1.39	1.4065	0.0071	5
1.395	1.3995	0.0078	2
1.4	1.4005	0.0066	4
1.405	1.4257	0.0068	5
1.41	1.4267	0.0074	2
1.415	1.4305	0.0065	3
1.42	1.4063	0.0058	3
1.425	1.4217	0.005	5
1.43	1.4265	0.006	5
1.435	1.4334	0.0059	5
1.44	1.4478	0.0062	2
1.445	1.4513	0.0061	1
1.45	1.4433	0.0054	4
1.455	1.4297	0.0051	5
1.46	1.4533	0.0054	5
1.465	1.4469	0.0053	5
1.47	1.458	0.0049	5
1.475	1.4576	0.0054	5
1.48	1.4533	0.0053	5
1.485	1.4468	0.0051	5
1.49	1.4592	0.0054	5
1.495	1.4469	0.0056	5
1.5	1.4528	0.0059	5
1.505	1.4653	0.0054	5
1.51	1.4545	0.0055	5
1.515	1.4587	0.0054	5
1.52	1.47	0.0054	5
1.525	1.4796	0.005	5
1.53	1.4606	0.0051	5
1.535	1.4585	0.0051	5
1.54	1.4576	0.0054	5
1.545	1.4625	0.0052	5
1.55	1.4604	0.0056	5
1.555	1.4565	0.0062	5
1.56	1.4658	0.0052	5
1.565	1.4576	0.0052	5
1.57	1.4568	0.0054	5
1.575	1.4661	0.0054	5
1.58	1.4696	0.0055	5
1.585	1.4596	0.0053	5
1.59	1.456	0.0053	5
1.595	1.4564	0.006	5
1.6	1.4571	0.0063	5
1.605	1.4551	0.0058	5
1.61	1.4562	0.0058	5
1.615	1.4586	0.0058	5
1.62	1.4445	0.0061	5
1.625	1.4482	0.0057	5
1.63	1.4358	0.0057	5
1.635	1.4373	0.0056	5
1.64	1.45	0.0057	5
1.645	1.423	0.0061	5
1.65	1.4234	0.0059	5
1.655	1.4509	0.0054	5
1.66	1.4379	0.0058	5
1.665	1.4389	0.0058	5
1.67	1.4196	0.0058	5
1.675	1.4157	0.0075	5
1.68	1.4192	0.0072	5
1.685	1.4187	0.0069	5
1.69	1.4007	0.0068	5
1.695	1.4074	0.0065	5
1.7	1.4192	0.0059	5
1.705	1.4144	0.0061	5
1.71	1.4148	0.0068	5
1.715	1.4129	0.0061	5
1.72	1.3906	0.0062	5
1.725	1.3779	0.0063	5
