0.435	0.728	0.0251	1
0.4375	0.7463	0.0227	1
0.44	0.77	0.0204	1
0.4425	0.7407	0.0176	1
0.445	0.7626	0.016	1
0.4475	0.775	0.0145	1
0.45	0.772	0.0129	1
0.4525	0.786	0.012	1
0.455	0.7929	0.0113	1
0.4575	0.7925	0.0103	1
0.46	0.8062	0.0097	1
0.4625	0.8154	0.009	1
0.465	0.806	0.0106	1
0.4675	0.8169	0.0103	1
0.47	0.8367	0.0077	1
0.4725	0.8455	0.0073	1
0.475	0.8494	0.0069	1
0.4775	0.8434	0.0065	1
0.48	0.8412	0.0061	1
0.4825	0.8547	0.0058	1
0.485	0.8681	0.0056	1
0.4875	0.8902	0.0057	1
0.49	0.8985	0.0057	1
0.4925	0.8703	0.0052	1
0.495	0.8858	0.005	1
0.4975	0.8868	0.0048	1
0.5	0.8967	0.0046	1
0.5025	0.9148	0.0046	1
0.505	0.9198	0.0045	1
0.5075	0.9148	0.0043	1
0.51	0.9176	0.0041	1
0.5125	0.9247	0.004	1
0.515	0.926	0.0039	1
0.5175	0.9439	0.0039	1
0.52	0.9514	0.0039	1
0.5225	0.9642	0.0039	1
0.525	0.9402	0.0046	1
0.5275	0.9426	0.0044	1
0.53	0.9511	0.0044	1
0.5325	0.9732	0.0061	1
0.535	0.9552	0.0058	1
0.5375	0.9652	0.0058	1
0.54	0.9764	0.0056	1
0.5425	0.9806	0.0031	1
0.545	0.9981	0.0031	1
0.5475	0.9953	0.003	1
0.55	1.0006	0.0029	1
0.5525	1.0133	0.0029	1
0.555	1.0168	0.0029	1
0.5575	1.0207	0.0028	1
0.56	1.0193	0.0028	1
0.5625	1.0325	0.0029	1
0.565	1.0295	0.0028	1
0.5675	1.0295	0.0027	1
0.57	1.0438	0.0027	1
0.5725	1.0469	0.0026	1
0.575	1.0479	0.0026	1
0.5775	1.0478	0.0026	1
0.58	1.0516	0.0025	1
0.5825	1.0553	0.0025	1
0.585	1.0631	0.0025	1
0.5875	1.0622	0.0024	1
0.59	1.0627	0.0024	1
0.5925	1.0711	0.0024	1
0.595	1.0796	0.0025	1
0.5975	1.0651	0.0024	1
0.6	1.0761	0.0023	1
0.6025	1.0842	0.0023	1
0.605	1.09	0.0023	1
0.6075	1.0936	0.0023	1
0.61	1.0946	0.0023	1
0.6125	1.1046	0.0023	1
0.615	1.1069	0.0023	1
0.6175	1.1069	0.0022	1
0.62	1.1146	0.0023	1
0.6225	1.1119	0.0022	1
0.625	1.1168	0.0022	1
0.6275	1.1186	0.0022	1
0.63	1.1236	0.0022	1
0.6325	1.1282	0.0022	1
0.635	1.1281	0.0022	1
0.6375	1.1341	0.0022	1
0.64	1.1424	0.0022	1
0.6425	1.14	0.0021	1
0.645	1.1467	0.0022	1
0.6475	1.1465	0.0021	1
